merchant_name,category_id,category_name
Smart Technology,87878,Сумки и чехлы для мыши
_ALGA_,87878,Сумки и чехлы для мыши
О'КЕЙ,87878,Сумки и чехлы для мыши
EAST BREEZE,87293,Аксессуары для систем охлаждения
Fora,87293,Аксессуары для систем охлаждения
Fresh breeze,87293,Аксессуары для систем охлаждения
Power Plus,87293,Аксессуары для систем охлаждения
Sauda24.kz,87293,Аксессуары для систем охлаждения
Smart Technology,87293,Аксессуары для систем охлаждения
Smartshop,87293,Аксессуары для систем охлаждения
_ALGA_,87293,Аксессуары для систем охлаждения
О'КЕЙ,87293,Аксессуары для систем охлаждения
EAST BREEZE,87621,Внешние корпуса и держатели для видеокарт
Fora,87621,Внешние корпуса и держатели для видеокарт
Fresh breeze,87621,Внешние корпуса и держатели для видеокарт
MegaNetwork.kz,87621,Внешние корпуса и держатели для видеокарт
Seguro comp,87621,Внешние корпуса и держатели для видеокарт
Smart Technology,87621,Внешние корпуса и держатели для видеокарт
_ALGA_,87621,Внешние корпуса и держатели для видеокарт
О'КЕЙ,87621,Внешние корпуса и держатели для видеокарт
EAST BREEZE,94696,Крепления для вентиляторов
Fora,94696,Крепления для вентиляторов
Fresh breeze,94696,Крепления для вентиляторов
Smart Technology,94696,Крепления для вентиляторов
_ALGA_,94696,Крепления для вентиляторов
О'КЕЙ,94696,Крепления для вентиляторов
2People,86007,Крепления для накопителей
EAST BREEZE,86007,Крепления для накопителей
Fora,86007,Крепления для накопителей
Fresh breeze,86007,Крепления для накопителей
KupiSam.kz,86007,Крепления для накопителей
MegaNetwork.kz,86007,Крепления для накопителей
Sauda24.kz,86007,Крепления для накопителей
Smart Technology,86007,Крепления для накопителей
_ALGA_,86007,Крепления для накопителей
ИП NACHOS MAN,86007,Крепления для накопителей
ИП QPICK,86007,Крепления для накопителей
О'КЕЙ,86007,Крепления для накопителей
EAST BREEZE,87750,Крепления для процессоров
Fora,87750,Крепления для процессоров
Fresh breeze,87750,Крепления для процессоров
